,code,docstring,codeBERT Predictions,NeuralCodeSum Predictions,code2seq Predictions,Raw_Methods,Ground_Truth,Comments - CodeBERT(Person1),Comments - NeuralCodeSum (Person1),Comments - Code2Seq (Person1),Comments - CodeBERT(Person2),Comments - NeuralCodeSum (Person2),Comments - Code2Seq (Person2),Comments - CodeBERT(Person3),Comments - NeuralCodeSum (Person3),Comments - Code2Seq (Person3),CodeBERT (Final Categories),NeuralCodeSum (Final Categories),Code2Seq (Final Categories)
77,"private OpenSSLSessionImpl getCachedClientSession() { if (super.getInetAddress() == null || super.getInetAddress().getHostAddress() == null || super.getInetAddress().getHostName() == null) { return null; } ClientSessionContext sessionContext = sslParameters.getClientSessionContext(); return (OpenSSLSessionImpl) sessionContext.getSession( super.getInetAddress().getHostName(), super.getPort()); }",gets the suitable session reference from the session cache container,returns the cached client session,returns the } for this } or null if the host is not set,###CAN'T PARSE AST/SAMPLIGH THRESHOLD###,"private OpenSSLSessionImpl getCachedClientSession() {
  if (super.getInetAddress() == null ||
  super.getInetAddress().getHostAddress() == null ||
  super.getInetAddress().getHostName() == null) {
  return null;
  }
  ClientSessionContext sessionContext
  = sslParameters.getClientSessionContext();
  return (OpenSSLSessionImpl) sessionContext.getSession(
  super.getInetAddress().getHostName(),
  super.getPort());
  }","/**
  * Gets the suitable session reference from the session cache container.
  *
  * @return OpenSSLSessionImpl
  */",,,,Missing Non-Critical Information,Failed to mention identifiers,0,Missing Non-Critical Information,Missing Syntax Information,0,Missing Non-Critical Information,Missing Syntax Information,0
78,public boolean covers(int pc) { return (pc >= startPc) && (pc < endPc); },returns whether the given address is in the range of this item,returns true if the point at the specified address is covered,return true if the given identity is greater than the current value,returns true if the var is in the range,"public boolean covers(int pc) {
  return (pc >= startPc) && (pc < endPc);
  }","/**
  * Returns whether the given address is in the range of this item.
  *
  * @param pc the address
  * @return <code>true</code> iff this item covers <code>pc</code>
  */",,,,Consistent with Specific Info ,Algorithmically Incorrect,Failed to mention identifiers,Semantically Unrelated to Code,Semantically Unrelated to Code,Missing Non-Critical Information,Consistent with Specific Info ,Algorithmically Incorrect,Missing Non-Critical Information
79,public InnerClassList getInnerClasses() { return innerClasses; },"gets the list of ""inner class"" entries associated with this instance",gets the inner classes,returns the inner classes,get the inner inner class,"public InnerClassList getInnerClasses() {
  return innerClasses;
  }","/**
  * Gets the list of ""inner class"" entries associated with this instance.
  * 
  * @return non-null; the list
  */",,,,Consistent with Specific Info ,Consistent with Specific Info ,Repetition,Missing Non-Critical Information,Missing Non-Critical Information,Repetition,Consistent with Specific Info ,Consistent with Specific Info ,Repetition
80,private void addToUses(SsaInsn insn) { RegisterSpecList rl = insn.getSources(); int sz = rl.size(); for (int i = 0; i < sz; i++) { useList[rl.get(i).getReg()].add(insn); } },adds specified insn to the uses list for all of its sources,adds tls to the registry,adds the given instructions to the list of instructions,###CAN'T PARSE AST/SAMPLIGH THRESHOLD###,"private void addToUses(SsaInsn insn) {
  RegisterSpecList rl = insn.getSources();
  int sz = rl.size();
 

  for (int i = 0; i < sz; i++) {
  useList[rl.get(i).getReg()].add(insn);
  }
  }","/**
  * Adds specified insn to the uses list for all of its sources.
  * @param insn non-null; insn to process
  */",,,,Incorrect Identifier/Attribute,Incorrect Identifier/Attribute,0,Semantically Unrelated to Code,Partial Incorrect Information,0,Incorrect Identifier/Attribute,Partial Incorrect Information,0
81,public CstMethodRef getRef() { return ref; },gets the reference to the method this instance implements,returns the cstmethodref,returns the reference to the target method ref,returns the reference to the,"public CstMethodRef getRef() {
  return ref;
  }","/**
  * Gets the reference to the method this instance implements.
  * 
  * @return non-null; the method reference
  */",,,,Focusing Only on Method Name ,Improves upon Semantic Meaning ,Incomplete Sentence,Missing Non-Critical Information,Missing Non-Critical Information,Semantically Unrelated to Code,Focusing Only on Method Name ,Missing Non-Critical Information,Incomplete Sentence
82,public AnnotationsList getParameterAnnotations(CstMethodRef method) { return annotationsDirectory.getParameterAnnotations(method); },"gets the parameter annotations for a given method, if any this is meant for use by debugging dumping code",returns the parameter annotations for the given method,returns the },returns the list of annotations for this var are not supported are not supported,"public AnnotationsList getParameterAnnotations(CstMethodRef method) {
  return annotationsDirectory.getParameterAnnotations(method);
  }","/**
  * Gets the parameter annotations for a given method, if any. This is
  * meant for use by debugging / dumping code.
  * 
  * @param method non-null; the method
  * @return null-ok; the parameter annotations, if any
  */",,,,Consistent with Specific Info ,Incomplete Sentence,Repetition,Missing Conditional Information,Missing Non-Critical Information,Semantically Unrelated to Code,Missing Conditional Information,Missing Non-Critical Information,Repetition
83,"public boolean inRange(int val, int min, int max) { if (val < min) return false; if (val > max) return false; return true; }","return true if val is in the range [min|max], inclusive",test if the value is in range,returns true if the specified range is within the range of values,###CAN'T PARSE AST/SAMPLIGH THRESHOLD###,"public boolean inRange(int val, int min, int max) {
  if (val < min)
  return false;
  if (val > max)
  return false;
  return true;
  }","/** Return true if val is in the range [min|max], inclusive. */",,,,Consistent with Specific Info ,Incorrect Identifier/Attribute,0,Missing Critical Information,Missing Identifier,0,Consistent with Specific Info ,Incorrect Identifier/Attribute,0
84,"private String contentsOfFile(File file) { String ret = null; FileInputStream is = null; try { byte[] buffer = new byte[BUFSIZE]; int count; is = new FileInputStream(file); StringBuffer out = new StringBuffer(); while ((count = is.read(buffer, 0, BUFSIZE)) != -1) { out.append(new String(buffer, 0, count)); } ret = out.toString(); } catch (IOException e) { Log.e(TAG, ""Exception getting contents of file "" + e); } finally { if (is != null) { try { is.close(); } catch (IOException e2) { Log.e(TAG, ""Exception while closing the file: "" + e2); } } } return ret; }",returns a string containing the contents of a file,description of the method,contents of the file,returns the contents of the file to be written to the file,"private String contentsOfFile(File file) {
  String ret = null;
  FileInputStream is = null;
  try {
  byte[] buffer = new byte[BUFSIZE];
  int count;
  is = new FileInputStream(file);
  StringBuffer out = new StringBuffer();
 

  while ((count = is.read(buffer, 0, BUFSIZE)) != -1) {
  out.append(new String(buffer, 0, count));
  }
  ret = out.toString();
  } catch (IOException e) {
  Log.e(TAG, ""Exception getting contents of file "" + e);
  } finally {
  if (is != null) {
  try {
  is.close();
  } catch (IOException e2) {
  Log.e(TAG, ""Exception while closing the file: "" + e2);
  }
  }
  }
  return ret;
  }","/**
  * Returns a string containing the contents of a file
  *
  * @param file the target file
  */",,,,Focusing Only on Method Name ,Consistent with Specific Info ,Unnecessary Incorrect Information,Semantically Unrelated to Code,Missing Non-Critical Information,Unnecessary file information,Focusing Only on Method Name ,Consistent with Specific Info ,Unnecessary file information
85,"private void runKeyguardConfirmation() { final Intent intent = new Intent(); intent.setClassName(""com.android.settings"", ""com.android.settings.ConfirmLockPattern""); intent.putExtra(ConfirmLockPattern.HEADER_TEXT, getText(R.string.master_clear_gesture_prompt)); intent.putExtra(ConfirmLockPattern.FOOTER_TEXT, getText(R.string.master_clear_gesture_explanation)); startActivityForResult(intent, KEYGUARD_REQUEST); }",keyguard validation is run using the standard component as a subactivity,run the key guard request,runs the } state,###CAN'T PARSE AST/SAMPLIGH THRESHOLD###,"private void runKeyguardConfirmation() {
  final Intent intent = new Intent();
  intent.setClassName(""com.android.settings"",
  ""com.android.settings.ConfirmLockPattern"");
  // supply header and footer text in the intent
  intent.putExtra(ConfirmLockPattern.HEADER_TEXT,
  getText(R.string.master_clear_gesture_prompt));
  intent.putExtra(ConfirmLockPattern.FOOTER_TEXT,
  getText(R.string.master_clear_gesture_explanation));
  startActivityForResult(intent, KEYGUARD_REQUEST);
  }","/**
  * Keyguard validation is run using the standard {@link ConfirmLockPattern}
  * component as a subactivity
  */",,,,Missing Non-Critical Information,Incomplete Sentence,0,Missing Non-Critical Information,Missing Syntax Information,0,Missing Non-Critical Information,Missing Syntax Information,0
86,"public boolean isConnected() { for (Profile profile : mProfiles) { int status = LocalBluetoothProfileManager.getProfileManager(mLocalManager, profile) .getConnectionStatus(mAddress); if (SettingsBtStatus.isConnectionStatusConnected(status)) { return true; } } return false; }",checks whether we are connected to this device (any profile counts),checks if the connection status is set,returns true if the connection is connected to the node,returns true if the current user is connected to the server,"public boolean isConnected() {
  for (Profile profile : mProfiles) {
  int status = LocalBluetoothProfileManager.getProfileManager(mLocalManager, profile)
  .getConnectionStatus(mAddress);
  if (SettingsBtStatus.isConnectionStatusConnected(status)) {
  return true;
  }
  }
 

  return false;
  }","/**
  * Checks whether we are connected to this device (any profile counts).
  *
  * @return Whether it is connected.
  */",,,,Consistent with Specific Info ,Consistent with Specific Info ,Incorrect Identifier/Attribute,Missing Non-Critical Information,Missing Identifier,Partial Incorrect Information,Consistent with Specific Info ,Consistent with Specific Info ,Partial Incorrect Information
87,public int getColourDepth() { return iconEntry == null ? -1 : iconEntry.sBitCount; },the colour depth of the ico image (bits per pixel),returns the depth of the colour,returns the current icon depth,returns the index of the icon,"public int getColourDepth() {
  return iconEntry == null ? -1 : iconEntry.sBitCount;
  }","/**
  * The colour depth of the ICO image (bits per pixel).
  * @return the colour depth, or <tt>-1</tt> if unknown.
  * @since 0.7alpha2
  */",,,,Algorithmically Incorrect,Missing Critical Information,Algorithmically Incorrect,Missing Identifier,Partial Incorrect Information,Semantically Unrelated to Code,Missing Identifier,Missing Critical Information,Algorithmically Incorrect
88,public IAnswerData getAnswerValue() { return mBinding.getValue(); },the answer to a question in the prompt as an,returns the value,get the answer value,returns the value of this object,"public IAnswerData getAnswerValue() {
  return mBinding.getValue();
  }","/**
  * The answer to a question in the prompt as an {@link IAnswerData}.
  */",Missing Attribute Specification,Missing Non-Critical Information,Missing Attribute Specification,,,,Missing Non-Critical Information,Missing Non-Critical Information,Missing Critical Information,Missing Non-Critical Information,Missing Critical Information,Missing Critical Information
89,public void setClasspath(Path classpath) { createClasspath().append(classpath); },set the optional classpath to the xsl processor,sets the classpath,set the classpath to be used for this compilation,adds a var to the classpath and classpath and,"public void setClasspath(Path classpath) {
  createClasspath().append(classpath);
  }","/**
  * Set the optional classpath to the XSL processor
  *
  * @param classpath the classpath to use when loading the XSL processor
  */",Missing Non-Critical Information,Consistent but Missing Specific Info,Repetition,,,,Missing Non-Critical Information,Missing Non-Critical Information,Repetition,Missing Non-Critical Information,Consistent but Missing Specific Info,Repetition
90,"public void endOldContents() throws DiffException { try { out.write(""</oldcontents>""); } catch (IOException ioe) { throw new DiffException(ioe); } }",end the list of old contents,ends the end of the old contents,ends the old contents of the current file,called when the contents of the contents is finished,"public void endOldContents() throws DiffException {
  try {
  out.write(""</oldcontents>"");
  } catch (IOException ioe) {
  throw new DiffException(ioe);
  }
  }","/**
  * End the list of old contents.
  *
  * @throws DiffException when there is an underlying exception, e.g.
  *  writing to a file caused an IOException
  */",Incorrect Identifier/Attribute,Missing Attribute Specification,Missing Attribute Specification,,,,Missing Non-Critical Information,Unnecessary Incorrect Information,Repetition,Incorrect Identifier/Attribute,Missing Attribute Specification,Missing Attribute Specification
91,"public void doCut() { Editor editor=getJPE().getEditor(); copyBuffer=editor.cutSelectedText(); Clipboard cb = Toolkit.getDefaultToolkit().getSystemClipboard(); cb.setContents( new StringSelection(copyBuffer), this); getJPE().say(""Text Cut""); }",cut the selected text and place it in the copy buffer,description of the method,copies the selected text to the clipboard and performs the duplicate action,###CAN'T PARSE AST/SAMPLIGH THRESHOLD###,"public void doCut() {
  Editor editor=getJPE().getEditor();
  copyBuffer=editor.cutSelectedText();
  Clipboard cb = Toolkit.getDefaultToolkit().getSystemClipboard();
  cb.setContents( new StringSelection(copyBuffer), this);
  getJPE().say(""Text Cut"");
  }","/**
  * Cut the selected text and place it in the copy buffer
  */",Focusing Only on Method Name ,Partial Incorrect Information,0,,,,Semantically Unrelated to Code,Partial Incorrect Information,0,Focusing Only on Method Name ,Partial Incorrect Information,0
92,"public void precompile(Collection col) { caching(true); Iterator iterator = col.iterator(); while(iterator.hasNext()) { Object bean = iterator.next(); Object ret = bv.get(this.attribute, bean); cache.put(bean, ret); } }",do a schwartzian transform precompile of all the values pattern from perl,precompiles the given collection,calls } on all objects in the given column,###CAN'T PARSE AST/SAMPLIGH THRESHOLD###,"public void precompile(Collection col) {
  caching(true);
  Iterator iterator = col.iterator();
  while(iterator.hasNext()) {
  Object bean = iterator.next();
  Object ret = bv.get(this.attribute, bean);
  cache.put(bean, ret);
  }
  }","/**
  * Do a Schwartzian transform precompile of all the values.
  * Pattern from Perl.
  */",Missing task elaboration,Incorrect Identifier/Attribute,0,,,,Missing Prog. Language Information ,Semantically Unrelated to Code,0,Missing Prog. Language Information ,Incorrect Identifier/Attribute,0
93,"private void init(City start, City destination, int maximumDistance) { this.maximumDistance = maximumDistance; sourceNode = start; destinationNode = destination; trips = 0; }",initialize all data structures used by the algorithm,inits the map,sets the destination of the edge to the given range,initialize the node with the given var and,"private void init(City start, City destination, int maximumDistance) {
  this.maximumDistance = maximumDistance;
  sourceNode = start;
  destinationNode = destination;
  trips = 0;
  }","/**
  * Initialize all data structures used by the algorithm.
  *
  * @param start the source node
  */",Missing Attribute Specification,Algorithmically Incorrect,Semantically Unrelated to Code,,,,Missing Data Structures,Semantically Unrelated to Code,Semantically Unrelated to Code,Missing Data Structures,Algorithmically Incorrect,Semantically Unrelated to Code
94,public boolean isValidForApi() { return isValid() && (width < API_MAX_DEGREE_DIFFERENCE) && (height < API_MAX_DEGREE_DIFFERENCE); },checks if the bounding box is valid for the osm api,is this api valid for api?,returns true if the specified span is valid for this shape,returns true if the current is valid for the max is valid,"public boolean isValidForApi() {
  return isValid() && (width < API_MAX_DEGREE_DIFFERENCE) && (height < API_MAX_DEGREE_DIFFERENCE);
  }","/**
   * Checks if the bounding box is valid for the OSM API.
   * 
   * @return true, if the bbox is smaller than 0.5*0.5 (here multiplied by
   * 1E7) degree.
   */",Missing Formatting,Missing Attribute Specification,Incorrect Identifier/Attribute,,,,Missing Non-Critical Information,Algorithmically Incorrect,Partial Incorrect Information,Missing Non-Critical Information,Missing Attribute Specification,Partial Incorrect Information
95,public void setBorders(final BoundingBox newBox) { left = newBox.left; right = newBox.right; top = newBox.top; bottom = newBox.bottom; calcDimensions(); calcMercatorFactorPow3(); },sets the borders to the ones of newbox recalculates dimensions and mercator-factor,sets the bounding box,set the left boundingbox of the image,sets the var of this node,"public void setBorders(final BoundingBox newBox) {
  left = newBox.left;
  right = newBox.right;
  top = newBox.top;
  bottom = newBox.bottom;
  calcDimensions();
  calcMercatorFactorPow3();
  }","/**
   * Sets the borders to the ones of newBox. Recalculates dimensions and
   * mercator-factor.
   * 
   * @param newBox bos with the new borders.
   */",Missing task elaboration,Missing task elaboration,Missing Attribute Specification,,,,Missing Non-Critical Information,Missing Identifier,Semantically Unrelated to Code,Missing Non-Critical Information,Missing task elaboration,Semantically Unrelated to Code
96,public void setInterfaceAddress(String ia) { if (null != ia) { ia = ia.trim(); if (0 == ia.length()) { ia = null; } } this.interfaceAddress = ia; },sets the interface which the tcp transport will use,sets the interface address,set the interface address,sets the address of the interface,"public void setInterfaceAddress(String ia) {
  if (null != ia) {
  ia = ia.trim();
  
  if (0 == ia.length()) {
  ia = null;
  }
  }
  
  this.interfaceAddress = ia;
  }","/**
  * Sets the interface which the TCP transport will use.
  *
  * @param ia The interface to use. May be a DNS name or an IP Address.
  */",Missing task elaboration,Missing task elaboration,Missing task elaboration,,,,Missing Non-Critical Information,Missing Non-Critical Information,Semantically Unrelated to Code,Missing Non-Critical Information,Missing Non-Critical Information,Missing task elaboration
97,public void setMulticastSize(int size) { tcpConfig.setMulticastSize(size); },sets the ip group multicast packet size,set the multicast socket size,sets the multicast size of the swf window,set the var of the,"public void setMulticastSize(int size) {
  tcpConfig.setMulticastSize(size);
  }","/**
  * Sets the IP group multicast packet size
  *
  * @param size the new multicast packet
  */",Consistent but Missing Specific Info,Consistent but Missing Specific Info,Incomplete Sentence,,,,Missing Identifier,Missing Identifier,Semantically Unrelated to Code,Consistent but Missing Specific Info,Consistent but Missing Specific Info,Incomplete Sentence
98,"private void upOneLevel() { Log.d(""FileBrowser"",""upOneLevel()""); if (this.currentDirectory.getParent() != null) this.browseTo(this.currentDirectory.getParentFile()); }",this function browses up one level according to the field: currentdirectory,move up one level,method },performs the correct action,"private void upOneLevel() {
  Log.d(""FileBrowser"",""upOneLevel()"");
  if (this.currentDirectory.getParent() != null)
  this.browseTo(this.currentDirectory.getParentFile());
  }","/**
   * This function browses up one level according to the field:
   * currentDirectory
   */",Missing task elaboration,Incomplete Sentence,Semantically Unrelated to Code,,,,Missing Non-Critical Information,Semantically Unrelated to Code,Semantically Unrelated to Code,Missing Non-Critical Information,Semantically Unrelated to Code,Semantically Unrelated to Code
99,"public ITypeHierarchy getSuperTypeHierarchy(IType type, IProgressMonitor monitor) throws ModelException { if (!superHierarchyCache.containsKey(type)) { superHierarchyCache.put(type, type.newSupertypeHierarchy(monitor)); } return superHierarchyCache.get(type); }",calculates super type hierarchy,returns the supertypehierarchy for the given type,returns the } for the given type,returns the super class for the given var,"public ITypeHierarchy getSuperTypeHierarchy(IType type, IProgressMonitor monitor) throws ModelException {
  if (!superHierarchyCache.containsKey(type)) {
  superHierarchyCache.put(type, type.newSupertypeHierarchy(monitor));
  }
  return superHierarchyCache.get(type);
  }","/**
   * Calculates super type hierarchy
   * @throws ModelException 
   */",Missing Non-Critical Information,Incorrect Identifier/Attribute,Missing Attribute Specification,,,,Missing Critical Information,Semantically Unrelated to Code,Missing Non-Critical Information,Missing Critical Information,Incorrect Identifier/Attribute,Missing Non-Critical Information
100,"public void endResponse(final OChannelBinaryClient iNetwork) { iNetwork.endResponse(); if (debug) System.out.println(""<- res: "" + getSessionId()); }",end response reached: release the channel in the pool to being reused,ends a response,method called when the channel has been closed,called when the response is finished,"public void endResponse(final OChannelBinaryClient iNetwork) {
  iNetwork.endResponse();
 

  if (debug)
  System.out.println(""<- res: "" + getSessionId());
  }","/**
   * End response reached: release the channel in the pool to being reused
   */",Missing task elaboration,Missing Attribute Specification,Missing Attribute Specification,,,,Missing Non-Critical Information,Semantically Unrelated to Code,Missing Non-Critical Information,Missing Non-Critical Information,Missing Attribute Specification,Missing Attribute Specification
101,public boolean isReuseSameObject() { return reusedObject != null; },tells if the iterator is using the same object for browsing,gets the value of the reusedobject property,returns true if the given object is equivalent to this one,returns true if this object is an object,"public boolean isReuseSameObject() {
  return reusedObject != null;
  }","/**
   * Tells if the iterator is using the same object for browsing.
   * 
   * @see #setReuseSameObject(boolean)
   */",Consistent but Missing Specific Info,Consistent but Missing Specific Info,Algorithmically Incorrect,,,,Missing Non-Critical Information,Semantically Unrelated to Code,Repetition,Consistent but Missing Specific Info,Consistent but Missing Specific Info,Algorithmically Incorrect
102,protected void ack(int timeout) { ACK ack = new ACK(transaction.getId()); ack.setTimeToComplete(timeout); server.sendAck(ack); },send an ack to the client (via serverimpl),send an ack,start a new ack,###CAN'T PARSE AST/SAMPLIGH THRESHOLD###,"protected void ack(int timeout) {
  ACK ack = new ACK(transaction.getId());
  ack.setTimeToComplete(timeout);
  server.sendAck(ack); 
  }",/** Send an ACK to the client (via serverImpl).*/,Missing task elaboration,Missing Critical Information,0,,,,Missing Critical Information,Partial Incorrect Information,0,Missing Critical Information,Missing Critical Information,0
103,private boolean hasMoreFixedGroups(long time) { long nextTime = -1L; Iterator ifg = fixedGroups.iterator(); while (ifg.hasNext()) { FixedGroup fg = (FixedGroup) ifg.next(); long fgtime = fg.getFixedTime(); if (fgtime + fixedGroupPostStartLapseTime > time) { if (fgtime > nextTime) { nextTime = fgtime; } } } if (nextTime > 0) return true; return false; },returns true if there are any (executable) fixed groups after time,checks if there are any fixed groups remaining,returns true if the next } has more than one time,###CAN'T PARSE AST/SAMPLIGH THRESHOLD###,"private boolean hasMoreFixedGroups(long time) {
  long nextTime = -1L;
 

  Iterator ifg = fixedGroups.iterator();
  while (ifg.hasNext()) {
  FixedGroup fg = (FixedGroup) ifg.next();
  long fgtime = fg.getFixedTime();
  // if we havnt already past its latest start time count it
  if (fgtime + fixedGroupPostStartLapseTime > time) {
  if (fgtime > nextTime) {
  nextTime = fgtime;
  }
  }
  }
 

  if (nextTime > 0)
  return true;
  return false;
  }","/**
   * Returns true if there are any (executable) fixed groups after time.
   * 
   * @param time
   * The time after which we wish to find fixed groups.
   */",Consistent but Missing Specific Info,Incorrect Identifier/Attribute,0,Consistent with Specific Info ,Failed to mention identifiers,0,,,,Consistent but Missing Specific Info,Failed to mention identifiers,0
104,,start the cache loader thread,description of the method,,###CAN'T PARSE AST/SAMPLIGH THRESHOLD###,"//  public void startLoader() {
 //  Loader loader = new Loader();
 //  loader.start();
 //  }",//  /** Start the cache loader thread.*/,0,0,0,,,,,,,0,0,0
105,public SimpleShape getShape(String name) { ShapeInfo info = (ShapeInfo) m_shapes.get(name); if (info == null) { return m_defaultShape; } else { return info.m_shape; } },retrieves the available <tt>simpleshape<tt> associated with the given name,get a shape by name,returns the shape with the given name,###CAN'T PARSE AST/SAMPLIGH THRESHOLD###,"public SimpleShape getShape(String name) {
  ShapeInfo info = (ShapeInfo) m_shapes.get(name);
  if (info == null) {
  return m_defaultShape;
  } else {
  return info.m_shape;
  }
  }","/**
  * Retrieves the available <tt>SimpleShape</tt> associated with the given
  * name.
  * 
  * @param name The name of the <tt>SimpleShape</tt> to retrieve.
  * @return The corresponding <tt>SimpleShape</tt> instance if available or
  *  <tt>null</tt>.
  **/",Missing task elaboration,Missing task elaboration,0,Consistent but Missing Specific Info,Consistent but Missing Specific Info,0,,,,Consistent but Missing Specific Info,Consistent but Missing Specific Info,0
106,"protected void addedBundle(Bundle bundle) { processBundleOnEventThread(ADDED, bundle); }",overrides the <tt>bundletracker<tt> functionality to inform the application object about the added extensions,called when a bundle is added to the queue,internal worker to be executed if a bundle is found,this method is called when the plugin is added,"protected void addedBundle(Bundle bundle) {
  processBundleOnEventThread(ADDED, bundle);
  }","/**
  * Overrides the <tt>BundleTracker</tt> functionality to inform the
  * application object about the added extensions.
  * 
  * @param bundle The activated bundle.
  **/",Missing Attribute Specification,Algorithmically Incorrect,Algorithmically Incorrect,Algorithmically Incorrect,Unnecessary Incorrect Information,Different Meaning,,,,Algorithmically Incorrect,Algorithmically Incorrect,Algorithmically Incorrect
107,public void checkCancel(final IProgressMonitor monitor) throws OperationCanceledException { if (monitor != null && monitor.isCanceled()) { throw new OperationCanceledException(); } },check whether the build has been canceled,checks to see if the operation is canceled,check if the build is valid,cancel the progress monitor,"public void checkCancel(final IProgressMonitor monitor) throws OperationCanceledException {
  if (monitor != null && monitor.isCanceled()) {
  throw new OperationCanceledException();
  }
  }","/**
   * Check whether the build has been canceled.
   * 
   * @param monitor
   * @throws OperationCanceledException
   */",Consistent but Missing Specific Info,Algorithmically Incorrect,Algorithmically Incorrect,Consistent but Missing Specific Info,Partial Incorrect Information,Algorithmically Incorrect,,,,Consistent but Missing Specific Info,Partial Incorrect Information,Algorithmically Incorrect
108,public void setLocale (Locale locale) { collator = Collator.getInstance(locale); location = locale; },sets the locale to be used for sorting,sets the locale,set the locale used by this request,sets the var and,"public void setLocale (Locale locale) {
  collator = Collator.getInstance(locale);
  location = locale;
  }","/**
  * Sets the locale to be used for sorting.
  *
  * @param locale  The locale to be used for sorting.
  */",Missing task elaboration,Missing Critical Information,Incomplete Sentence,Consistent with Specific Info ,Consistent but with Unnecessary Info,Incomplete Sentence,,,,Missing task elaboration,Consistent but with Unnecessary Info,Incomplete Sentence
109,"private String basename(String fileName) { if (end == 0) { end = fileName.length(); } return fileName.substring(start, end); }",returns the file name (excluding directories and extension),description of the method,convert the file name to a string,returns the string of the given var and end of the end,"private String basename(String fileName) {
  int start = fileName.lastIndexOf(FSEP) + 1; // last '/'
  int end = fileName.lastIndexOf("".""); // last '.'
  
  if (end == 0) {
  end = fileName.length();
  }
  return fileName.substring(start, end);
  }",/** Returns the file name (excluding directories and extension). */,Semantically Unrelated to Code,Missing task elaboration,Incorrect Identifier/Attribute,Focusing Only on Method Name ,Consistent but Missing Specific Info,Repetition,,,,Focusing Only on Method Name ,Consistent but Missing Specific Info,Repetition
110,"public void removeAllButSelectedTab() { TabPanel lTabPanel = (TabPanel) iTabbedPane.getComponent(iTabbedPane.getSelectedIndex()); removeAllTabs(); iTabbedPane.add(lTabPanel.getPeptideIdentification().getName(), lTabPanel); iTabbedPane.setSelectedIndex(0); }",remove all tabs except the selected tab,description of the method,removes all tab panels from the tabbed pane,###CAN'T PARSE AST/SAMPLIGH THRESHOLD###,"public void removeAllButSelectedTab() {
  // First get the component that was selected,
  TabPanel lTabPanel = (TabPanel) iTabbedPane.getComponent(iTabbedPane.getSelectedIndex());
  // Remove all components,
  removeAllTabs();
  // re-add the selected component.
  iTabbedPane.add(lTabPanel.getPeptideIdentification().getName(), lTabPanel);
  iTabbedPane.setSelectedIndex(0);
  }","/**
  * Remove all tabs except the selected tab.
  */",Semantically Unrelated to Code,Partial Incorrect Information,0,Focusing Only on Method Name ,Algorithmically Incorrect,0,,,,Focusing Only on Method Name ,Partial Incorrect Information,0
111,public boolean isEmpty() { return handlers.isEmpty(); },checks whether any more responses are expected,checks if is empty,returns true if this map contains no key-value mappings,returns whether it is the empty list,"public boolean isEmpty() {
  return handlers.isEmpty();
  }","/**
  * Checks whether any more responses are expected.
  * @return True if no more handlers exist, false otherwise.
  */",Focusing Only on Method Name ,Algorithmically Incorrect,Missing Attribute Specification,Failed to mention identifiers,Semantically Unrelated to Code,Missing Attribute Specification,,,,Focusing Only on Method Name ,Semantically Unrelated to Code,Missing Attribute Specification
112,"protected String getAliasFromMailPath() { if (mailPath == null) { return null; } int index = mailPath.lastIndexOf('/', mailPath.length() - 2); if (index >= 0 && mailPath.endsWith(""/"")) { return mailPath.substring(index + 1, mailPath.length() - 1); } else { LOGGER.warn(new BundleMessage(""EXCEPTION_INVALID_MAIL_PATH"", mailPath)); return null; } }",get current exchange alias name from mailbox name,extract the alias from the mailpath,returns the alias from the given mail path,###CAN'T PARSE AST/SAMPLIGH THRESHOLD###,"protected String getAliasFromMailPath() {
  if (mailPath == null) {
  return null;
  }
  int index = mailPath.lastIndexOf('/', mailPath.length() - 2);
  if (index >= 0 && mailPath.endsWith(""/"")) {
  return mailPath.substring(index + 1, mailPath.length() - 1);
  } else {
  LOGGER.warn(new BundleMessage(""EXCEPTION_INVALID_MAIL_PATH"",
  mailPath));
  return null;
  }
  }","/**
   * Get current Exchange alias name from mailbox name
   * 
   * @return user name
   */",Missing Attribute Specification,Missing Attribute Specification,0,Consistent with Specific Info ,Consistent with Specific Info ,0,,,,Consistent with Specific Info ,Consistent with Specific Info ,0
113,"public void setInput(Object bean) { for (String fieldName : form.getFields().keySet()) { try { Object value = BeanSupport.getProperty(bean, fieldName); setInput(fieldName, value); /* simply do not set a value for this field in input map */ } } }",sets the form's input from the specified bean,sets the input,sets the bean value for the bean,###CAN'T PARSE AST/SAMPLIGH THRESHOLD###,"public void setInput(Object bean) {
  for (String fieldName : form.getFields().keySet()) {
  try {
  Object value = BeanSupport.getProperty(bean, fieldName);
  setInput(fieldName, value);
  } catch (Exception e) { // PropertyNotFoundException etc.
  /* simply do not set a value for this field in input map */
  }
  }
  }","/**
   * Sets the form's input from the specified bean.
   * 
   * @param bean The bean from which the values are fetched
   */",Missing task elaboration,Missing Attribute Specification,0,Missing Critical Information,Algorithmically Incorrect,0,,,,Missing Critical Information,Algorithmically Incorrect,0
